model,optimizer,n_features,hidden,dropout,lr,weight_decay,best_val_mse,test_rmse
(64-32)_0.0,adam_lr5e-4_wd1e-4,7,"(64, 32)",0.0,0.0005,0.0001,0.47887528047227024,0.6965872245705987
(64-32-16-8)_0.1,adam_lr1e-3_wd1e-5,11,"(64, 32, 16, 8)",0.1,0.001,1e-05,0.47893929899784554,0.658023497592824
(32-16)_0.0,adam_lr5e-4_wd1e-4,7,"(32, 16)",0.0,0.0005,0.0001,0.4794924489238806,0.7262773108348229
(128-64)_0.2,adam_lr5e-4_wd1e-5,11,"(128, 64)",0.2,0.0005,1e-05,0.47951569787242954,0.6585080942946847
(64-32-16)_0.4,adam_lr2e-3_wd1e-5,11,"(64, 32, 16)",0.4,0.002,1e-05,0.47975788409249825,0.7532998760994796
(128-64)_0.4,adam_lr5e-4_wd1e-4,11,"(128, 64)",0.4,0.0005,0.0001,0.47994568787123026,0.7090826125717711
(64-32-16)_0.2,adam_lr2e-3_wd1e-5,7,"(64, 32, 16)",0.2,0.002,1e-05,0.4801047224747507,0.6974453779058121
(64-32)_0.1,adam_lr5e-4_wd0,7,"(64, 32)",0.1,0.0005,0.0,0.48032544265713606,0.7091760779877467
(64-32-16-8)_0.1,adam_lr1e-3_wd1e-4,7,"(64, 32, 16, 8)",0.1,0.001,0.0001,0.48079295743975725,0.6965190071139757
(64-32)_0.2,adam_lr1e-3_wd0,7,"(64, 32)",0.2,0.001,0.0,0.48154515341708537,0.6910933819074336
(32-16)_0.0,adam_lr5e-4_wd1e-5,11,"(32, 16)",0.0,0.0005,1e-05,0.4817727406819661,0.6959635163046519
(32-16)_0.1,adam_lr1e-3_wd0,7,"(32, 16)",0.1,0.001,0.0,0.4825053706503751,0.6831652455716926
(64-32-16-8)_0.1,adam_lr5e-4_wd0,7,"(64, 32, 16, 8)",0.1,0.0005,0.0,0.48313922631113154,0.7123154177781656
(32-16)_0.1,adam_lr1e-3_wd0,11,"(32, 16)",0.1,0.001,0.0,0.4832679231961568,0.6848149469689134
(128-64)_0.4,adam_lr1e-3_wd1e-4,7,"(128, 64)",0.4,0.001,0.0001,0.48411167295355545,0.6624055840524293
(32-16)_0.2,adam_lr1e-3_wd1e-4,11,"(32, 16)",0.2,0.001,0.0001,0.4847434717312194,0.7080625169200759
(64-32-16)_0.4,adam_lr2e-3_wd1e-5,7,"(64, 32, 16)",0.4,0.002,1e-05,0.48605866704070777,0.7262063457623452
(64-32)_0.2,adam_lr5e-4_wd1e-3,11,"(64, 32)",0.2,0.0005,0.001,0.4862798818370752,0.6949507308418418
(64-32)_0.2,adam_lr5e-4_wd0,11,"(64, 32)",0.2,0.0005,0.0,0.4865907911668744,0.6905166769171684
(32-16)_0.2,adam_lr2e-3_wd1e-3,7,"(32, 16)",0.2,0.002,0.001,0.4874099942675808,0.6986011011117994
(128-64)_0.4,adam_lr1e-3_wd1e-3,7,"(128, 64)",0.4,0.001,0.001,0.48753731606299416,0.6899449907109562
(64-32)_0.2,adam_lr5e-4_wd1e-5,11,"(64, 32)",0.2,0.0005,1e-05,0.48829089340410736,0.689102371741129
(32-16)_0.2,adam_lr1e-3_wd0,11,"(32, 16)",0.2,0.001,0.0,0.488470969492929,0.7057737693276719
(64-32)_0.1,adam_lr5e-4_wd1e-3,7,"(64, 32)",0.1,0.0005,0.001,0.48901211378867165,0.6915609056991804
(32-16)_0.0,adam_lr5e-4_wd1e-3,11,"(32, 16)",0.0,0.0005,0.001,0.4893037906864233,0.7345931887381623
(64-32-16)_0.1,adam_lr5e-4_wd1e-5,7,"(64, 32, 16)",0.1,0.0005,1e-05,0.4898794973105715,0.7035813675904952
(64-32)_0.4,adam_lr2e-3_wd1e-3,7,"(64, 32)",0.4,0.002,0.001,0.49367566798862655,0.7117472211671932
(128-64)_0.4,adam_lr5e-4_wd0,11,"(128, 64)",0.4,0.0005,0.0,0.49401787812249703,0.6965161749463221
(64-32-16)_0.4,adam_lr2e-3_wd1e-3,11,"(64, 32, 16)",0.4,0.002,0.001,0.495056270507344,0.7403150526103527
(64-32-16)_0.1,adam_lr5e-4_wd1e-3,7,"(64, 32, 16)",0.1,0.0005,0.001,0.4950644384350693,0.700209696751909
(64-32)_0.2,adam_lr1e-3_wd1e-4,7,"(64, 32)",0.2,0.001,0.0001,0.4960378648941977,0.6840227592514473
(64-32-16-8)_0.2,adam_lr1e-3_wd1e-5,7,"(64, 32, 16, 8)",0.2,0.001,1e-05,0.49620938301086426,0.7420589445674051
(32-16)_0.2,adam_lr2e-3_wd1e-5,7,"(32, 16)",0.2,0.002,1e-05,0.49640435816948875,0.7075205824743425
(64-32)_0.2,adam_lr1e-3_wd1e-5,7,"(64, 32)",0.2,0.001,1e-05,0.4968147633368509,0.6828299657083047
(64-32)_0.4,adam_lr1e-3_wd1e-5,11,"(64, 32)",0.4,0.001,1e-05,0.49897564398614985,0.711202766442773
(32-16)_0.4,adam_lr2e-3_wd1e-4,11,"(32, 16)",0.4,0.002,0.0001,0.4990373504789252,0.7518009390641281
(64-32-16-8)_0.1,adam_lr5e-4_wd1e-3,11,"(64, 32, 16, 8)",0.1,0.0005,0.001,0.4999050414353086,0.6636954482917204
(64-32)_0.4,adam_lr2e-3_wd0,7,"(64, 32)",0.4,0.002,0.0,0.5009192238774216,0.697149708034535
